,Report Type,Measure,N,Mean,Std. Dev.,Min,Median,Max
0,10-K,Negative — Proportional,384,0.024797815547913105,0.00458443490364419,0.012180792730690898,0.025082646353125876,0.03551354113438937
1,10-K,Negative — tf.idf,384,165.5979212229224,60.856290527229696,59.37559879126966,151.40934563436895,342.85878584729994
2,10-K,Positive — Proportional,384,0.007897939016062408,0.0020986923196514694,0.0040675270658755884,0.007458441612248779,0.014675754725489943
3,10-K,Positive — tf.idf,384,43.87689742376933,16.875850518199428,15.12038789186284,41.93896072864037,126.6649497267726
4,10-K,Uncertainty — Proportional,384,0.02113291017186787,0.0026277264239835192,0.014153782297395456,0.021364902018291013,0.027948496899246365
5,10-K,Uncertainty — tf.idf,384,27.554196361693325,9.71431812603029,10.299640760368915,26.034881249024316,64.12628656283094
6,10-Q,Negative — Proportional,1158,0.021101970449732714,0.010890934411492838,0.003177124702144559,0.017089025046972045,0.05015541113308844
7,10-Q,Negative — tf.idf,1158,75.08728479164421,72.4630706805327,2.1299886882579684,33.65144039501038,281.7963891293515
8,10-Q,Positive — Proportional,1158,0.0063895581324837835,0.0025038437660579362,0.0006764069264069264,0.006126480547613921,0.015426424746223324
9,10-Q,Positive — tf.idf,1158,17.289508017856907,12.798446367075316,0.5094636747096799,12.914220017835081,59.865237944715346
10,10-Q,Uncertainty — Proportional,1158,0.019330282031225318,0.006610897266567064,0.0063033284649089095,0.01762404572725378,0.03580240432568639
11,10-Q,Uncertainty — tf.idf,1158,12.697510464567246,8.66858990078879,1.3406875819267254,9.89873980793887,40.771104920941276
