,Negative Word,Negative Share (%),Positive Word,Positive Share (%),Uncertainty Word,Uncertainty Share (%)
0,LOSS,4.8528680733291685,ABLE,9.107396287031094,MAY,37.373369317135285
1,ADVERSELY,4.791822010842184,SUCCESSFULLY,4.7470039755078774,COULD,20.655116079794347
2,ADVERSE,2.956325614827056,SUCCESSFUL,4.092959522363311,RISK,5.039901178015712
3,CLAIMS,2.76327898806285,SUCCESS,3.6847574825045992,RISKS,4.990049731322725
4,HARM,2.199337646023525,ACHIEVE,3.5382307982393764,BELIEVE,3.140140625125129
5,AGAINST,2.1848108663670622,COLLABORATION,3.328372344743607,APPROXIMATELY,1.8179761513882329
6,UNABLE,2.1823757414535514,FAVORABLE,2.706569519570956,ASSUMPTIONS,1.3153574488872517
7,FAILURE,2.0739706978900063,PROFITABILITY,2.5666638839071094,FLUCTUATIONS,1.2669074484868383
8,LOSSES,1.9910924810060258,GAIN,2.4823174821591527,MIGHT,1.248588543376765
9,LITIGATION,1.929626569396022,COLLABORATORS,2.45122734090052,UNCERTAINTIES,1.2325720143187768
10,FAIL,1.5458005011319131,OPPORTUNITIES,2.4149555094321156,POSSIBLE,1.1307669514939418
11,NEGATIVELY,1.3415019178707939,IMPROVE,2.045904017825014,DEPEND,1.046780277246118
12,DIFFICULT,1.327143077863539,GAINS,1.9696180230700362,PREDICT,1.000032033058116
13,PENALTIES,1.1313254468874065,EXCLUSIVE,1.76119892796587,ANTICIPATED,0.9836150907736785
14,NEGATIVE,1.0890886251116798,COLLABORATIONS,1.6192781905537788,UNCERTAIN,0.9313611647219932
15,DELAYS,1.0653251647487958,ENABLE,1.569764261882623,ANTICIPATE,0.8813095114157812
16,DECLINE,1.0462640145637263,ENHANCE,1.53406817377086,UNCERTAINTY,0.8797078585099822
17,DELAY,0.9514620825860018,ASSURE,1.2061823321636147,INTANGIBLE,0.8478750070072314
18,LIMITATIONS,0.8841182832537299,ADEQUATELY,1.1704862440518513,DIFFER,0.7739987667272625
19,CHALLENGES,0.8730342664060243,SATISFY,1.1572441468491006,DEPENDS,0.7720968039016265
20,RESTATED,0.857835728152731,OPPORTUNITY,1.1333507975484847,VOLATILITY,0.7514755227394672
21,HARMED,0.8239958888373875,ADVANTAGE,1.1088817048912276,EXPOSURE,0.6770987659264361
22,DISRUPTIONS,0.8011560965451456,LEADING,1.0553375727235828,DEPENDENT,0.5870057899752544
23,FINES,0.7982171526840115,BEST,1.0492922674788485,PENDING,0.5492668433823706
24,DAMAGES,0.7450642537097868,PROGRESS,1.0271261482481568,VARY,0.49400981813231254
25,IMPAIRMENT,0.694514419298281,POSITIVE,0.9816424230734908,FLUCTUATE,0.49400981813231254
26,BREACH,0.6714227175322276,INNOVATION,0.9689760692273811,REVISED,0.40031312314308365
27,UNAUTHORIZED,0.6706669891107931,BETTER,0.9632186356609679,CONTINGENCIES,0.3960086809587494
28,INVESTIGATIONS,0.6600028213861067,ACHIEVING,0.9206136272695084,CONTINGENT,0.3864988668305691
29,VOLATILITY,0.6303614733009545,IMPROVEMENTS,0.9096745034933228,DEPENDING,0.3743863667304658
