,Form,Measure,Trend coefficient,Std. Error,t-stat,p-value,N quarters
0,10-K,negative_prop,0.0001411353424099362,3.0356587698156256e-05,4.6492492441272715,3.331454342004861e-06,20
1,10-K,negative_tfidf,0.27474075049879687,0.5375616497882549,0.5110869620387113,0.6092901650281488,20
2,10-K,uncertainty_prop,7.155128242012341e-05,2.342044558800061e-05,3.0550777589296803,0.0022500217787077346,20
3,10-K,uncertainty_tfidf,-0.21808480432030608,0.08747736807369488,-2.4930425905884777,0.012665365302884146,20
4,10-K,positive_prop,3.096005609776798e-05,2.2204665687905833e-05,1.39430408603859,0.16322579756903166,20
5,10-K,positive_tfidf,0.030891440596638287,0.18708682913636945,0.16511820067312813,0.8688509475746283,20
6,10-Q,negative_prop,-8.040517647185254e-05,3.423923451057151e-05,-2.3483345238640516,0.01885757631615685,20
7,10-Q,negative_tfidf,-0.1469819923474689,0.2823892601230477,-0.5204942719260047,0.6027191192451582,20
8,10-Q,uncertainty_prop,-6.394335764454338e-05,1.6984648520945752e-05,-3.7647736758100923,0.000166700001629659,20
9,10-Q,uncertainty_tfidf,-0.07873924111102215,0.042373144326504714,-1.8582345578203923,0.06313571252728305,20
10,10-Q,positive_prop,1.4947878444416252e-05,1.393441001554588e-05,1.0727313483484195,0.28339167086017514,20
11,10-Q,positive_tfidf,0.012282931259653629,0.07196186812830269,0.1706866647451963,0.8644701489411916,20
